affected_downstream_layers,closure_dependency,company_id,confidence,current_period_end,current_publish_date,current_ttm_impact,downstream_layer_count,evidence_types_needed,exact_information_needed,existing_local_evidence_summary,fact_count,first_batch_score,fiscal_quarter,fiscal_year,lifecycle_impact,preferred_source_type,priority,quarter_position_latest8q,research_request,research_task_id,score_impact,status,structural_warning,ticker,valuation_impact,why_needed
Latest8Q closure,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|LINEAGE_OWNERSHIP_EVIDENCE|OCF_FOR_FCF|OFFICIAL_PERIOD_END|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,1853,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2024-06-10,,NO,0,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|LINEAGE_OWNERSHIP_EVIDENCE|OCF_FOR_FCF|OFFICIAL_PERIOD_END|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,Verify Capex required to derive FCF for FY2024 Q3; Verify Cash for FY2024 Q3; Verify EBIT for FY2024 Q3; Verify FCF for FY2024 Q3; Verify first-public result publication date for FY2024 Q3; Verify lineage/source ownership evidence for FY2024 Q3; Verify OCF required to derive FCF for FY2024 Q3; Verify official period_end for FY2024 Q3; Verify Revenue for FY2024 Q3; Verify Shares Outstanding for FY2024 Q3; Verify source semantics confirmation for FY2024 Q3; Verify Total Debt for FY2024 Q3,Phase 8G issue=FQ_CONFLICT_DIRECT_EXACT|PERIOD_END_FISCAL_SLOT_CONFLICT|PRIMARY_CORE_INCOMPLETE|PUBLISH_DATE_MISSING|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_CASH|NEED_DEBT|NEED_EBIT|NEED_FCF|NEED_FIRST_PUBLIC_RESULT_DATE|NEED_LOCAL_LINEAGE_RECONCILIATION|NEED_OCF|NEED_OFFICIAL_PERIOD_END|NEED_REVENUE|NEED_SHARES|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,12,75,Q3,2024,NO,issuer Investor Relations earnings release/archive,P3_LATEST8Q,6,"Research official issuer sources for FY2024 Q3. Verify Capex required to derive FCF, Cash, EBIT, FCF, first-public result publication date, lineage/source ownership evidence, OCF required to derive FCF, official period_end, Revenue, Shares Outstanding, source semantics confirmation, Total Debt. Do not research other fields.",P8H-3-2147,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,PRMB,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|LINEAGE_OWNERSHIP_EVIDENCE|OCF_FOR_FCF|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,383,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2022-12-31,,NO,0,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|LINEAGE_OWNERSHIP_EVIDENCE|OCF_FOR_FCF|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,Verify Capex required to derive FCF for FY2024 Q1; Verify Cash for FY2024 Q1; Verify EBIT for FY2024 Q1; Verify FCF for FY2024 Q1; Verify first-public result publication date for FY2024 Q1; Verify lineage/source ownership evidence for FY2024 Q1; Verify OCF required to derive FCF for FY2024 Q1; Verify Revenue for FY2024 Q1; Verify Shares Outstanding for FY2024 Q1; Verify source semantics confirmation for FY2024 Q1; Verify Total Debt for FY2024 Q1,Phase 8G issue=FY_CONFLICT_DIRECT_EXACT|PRIMARY_CORE_INCOMPLETE|PUBLISH_DATE_MISSING|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_CASH|NEED_DEBT|NEED_EBIT|NEED_FCF|NEED_FIRST_PUBLIC_RESULT_DATE|NEED_LOCAL_LINEAGE_RECONCILIATION|NEED_OCF|NEED_REVENUE|NEED_SHARES|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=OTHER_VERIFIED,11,70,Q1,2024,NO,issuer Investor Relations earnings release/archive,P3_LATEST8Q,8,"Research official issuer sources for FY2024 Q1. Verify Capex required to derive FCF, Cash, EBIT, FCF, first-public result publication date, lineage/source ownership evidence, OCF required to derive FCF, Revenue, Shares Outstanding, source semantics confirmation, Total Debt. Do not research other fields.",P8H-3-0466,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,STRUCTURAL_REVIEW_ALSO_REQUIRED,BTBD,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|OCF_FOR_FCF|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,1350,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2022-03-31,2025-05-30,NO,0,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|OCF_FOR_FCF|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,Verify Capex required to derive FCF for FY2022 Q4; Verify Cash for FY2022 Q4; Verify EBIT for FY2022 Q4; Verify FCF for FY2022 Q4; Verify first-public result publication date for FY2022 Q4; Verify OCF required to derive FCF for FY2022 Q4; Verify Revenue for FY2022 Q4; Verify Shares Outstanding for FY2022 Q4; Verify source semantics confirmation for FY2022 Q4; Verify Total Debt for FY2022 Q4,Phase 8G issue=MISSING_QUARTER|PRIMARY_CORE_INCOMPLETE|PUBLISH_LATE_REVIEW|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_CASH|NEED_DEBT|NEED_EBIT|NEED_FCF|NEED_FIRST_PUBLIC_RESULT_DATE|NEED_MISSING_QUARTER_SOURCE|NEED_OCF|NEED_REVENUE|NEED_SHARES|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=FIXED_DATE_FISCAL_YEAR,10,70,Q4,2022,NO,issuer Investor Relations earnings release/archive,P3_LATEST8Q,6,"Research official issuer sources for FY2022 Q4. Verify Capex required to derive FCF, Cash, EBIT, FCF, first-public result publication date, OCF required to derive FCF, Revenue, Shares Outstanding, source semantics confirmation, Total Debt. Do not research other fields.",P8H-3-1573,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,LION,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|OCF_FOR_FCF|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,2066,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2021-12-31,2025-02-11,NO,0,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|OCF_FOR_FCF|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,Verify Capex required to derive FCF for FY2021 Q4; Verify Cash for FY2021 Q4; Verify EBIT for FY2021 Q4; Verify FCF for FY2021 Q4; Verify first-public result publication date for FY2021 Q4; Verify OCF required to derive FCF for FY2021 Q4; Verify Revenue for FY2021 Q4; Verify Shares Outstanding for FY2021 Q4; Verify source semantics confirmation for FY2021 Q4; Verify Total Debt for FY2021 Q4,Phase 8G issue=MISSING_QUARTER|PRIMARY_CORE_INCOMPLETE|PUBLISH_SEQUENCE_CONFLICT|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_CASH|NEED_DEBT|NEED_EBIT|NEED_FCF|NEED_FIRST_PUBLIC_RESULT_DATE|NEED_MISSING_QUARTER_SOURCE|NEED_OCF|NEED_REVENUE|NEED_SHARES|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,10,70,Q4,2021,NO,issuer Investor Relations earnings release/archive,P3_LATEST8Q,7,"Research official issuer sources for FY2021 Q4. Verify Capex required to derive FCF, Cash, EBIT, FCF, first-public result publication date, OCF required to derive FCF, Revenue, Shares Outstanding, source semantics confirmation, Total Debt. Do not research other fields.",P8H-3-2420,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,SHOP,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|OCF_FOR_FCF|OFFICIAL_FY_FQ_IDENTITY|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,2099,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2022-12-31,2025-03-18,NO,0,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|OCF_FOR_FCF|OFFICIAL_FY_FQ_IDENTITY|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,Verify Capex required to derive FCF for FY2022 Q4; Verify Cash for FY2022 Q4; Verify EBIT for FY2022 Q4; Verify FCF for FY2022 Q4; Verify first-public result publication date for FY2022 Q4; Verify OCF required to derive FCF for FY2022 Q4; Verify official fiscal year / fiscal quarter identity for FY2022 Q4; Verify Revenue for FY2022 Q4; Verify Shares Outstanding for FY2022 Q4; Verify source semantics confirmation for FY2022 Q4; Verify Total Debt for FY2022 Q4,Phase 8G issue=PRIMARY_CORE_INCOMPLETE|PUBLISH_LATE_REVIEW|SECONDARY_FIELDS_INCOMPLETE|UNRESOLVED_BOUNDARY|UNRESOLVED_SEQUENCE; source dependency=NEED_CAPEX|NEED_CASH|NEED_DEBT|NEED_EBIT|NEED_FCF|NEED_FIRST_PUBLIC_RESULT_DATE|NEED_OCF|NEED_OFFICIAL_FISCAL_YEAR_START|NEED_OFFICIAL_FY_FQ_IDENTITY|NEED_REVENUE|NEED_SHARES|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,11,70,Q4,2022,NO,issuer Investor Relations earnings release/archive,P3_LATEST8Q,8,"Research official issuer sources for FY2022 Q4. Verify Capex required to derive FCF, Cash, EBIT, FCF, first-public result publication date, OCF required to derive FCF, official fiscal year / fiscal quarter identity, Revenue, Shares Outstanding, source semantics confirmation, Total Debt. Do not research other fields.",P8H-3-2469,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,STRUCTURAL_REVIEW_ALSO_REQUIRED,SLXN,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|LINEAGE_OWNERSHIP_EVIDENCE|OCF_FOR_FCF|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,2099,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2023-03-31,,NO,0,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|LINEAGE_OWNERSHIP_EVIDENCE|OCF_FOR_FCF|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,Verify Capex required to derive FCF for FY2024 Q2; Verify Cash for FY2024 Q2; Verify EBIT for FY2024 Q2; Verify FCF for FY2024 Q2; Verify first-public result publication date for FY2024 Q2; Verify lineage/source ownership evidence for FY2024 Q2; Verify OCF required to derive FCF for FY2024 Q2; Verify Revenue for FY2024 Q2; Verify Shares Outstanding for FY2024 Q2; Verify source semantics confirmation for FY2024 Q2; Verify Total Debt for FY2024 Q2,Phase 8G issue=FY_CONFLICT_DIRECT_EXACT|PRIMARY_CORE_INCOMPLETE|PUBLISH_DATE_MISSING|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_CASH|NEED_DEBT|NEED_EBIT|NEED_FCF|NEED_FIRST_PUBLIC_RESULT_DATE|NEED_LOCAL_LINEAGE_RECONCILIATION|NEED_OCF|NEED_REVENUE|NEED_SHARES|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,11,70,Q2,2024,NO,issuer Investor Relations earnings release/archive,P3_LATEST8Q,7,"Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, Cash, EBIT, FCF, first-public result publication date, lineage/source ownership evidence, OCF required to derive FCF, Revenue, Shares Outstanding, source semantics confirmation, Total Debt. Do not research other fields.",P8H-3-2470,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,STRUCTURAL_REVIEW_ALSO_REQUIRED,SLXN,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|LINEAGE_OWNERSHIP_EVIDENCE|OCF_FOR_FCF|OFFICIAL_PERIOD_END|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION,2196,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2023-04-30,2025-03-27,NO,0,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|LINEAGE_OWNERSHIP_EVIDENCE|OCF_FOR_FCF|OFFICIAL_PERIOD_END|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION,Verify Capex required to derive FCF for FY2023 Q4; Verify Cash for FY2023 Q4; Verify EBIT for FY2023 Q4; Verify FCF for FY2023 Q4; Verify first-public result publication date for FY2023 Q4; Verify lineage/source ownership evidence for FY2023 Q4; Verify OCF required to derive FCF for FY2023 Q4; Verify official period_end for FY2023 Q4; Verify Revenue for FY2023 Q4; Verify Shares Outstanding for FY2023 Q4; Verify source semantics confirmation for FY2023 Q4,Phase 8G issue=FQ_CONFLICT_DIRECT_EXACT|PERIOD_END_FISCAL_SLOT_CONFLICT|PRIMARY_CORE_INCOMPLETE|PUBLISH_SEQUENCE_CONFLICT|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_CASH|NEED_EBIT|NEED_FCF|NEED_FIRST_PUBLIC_RESULT_DATE|NEED_LOCAL_LINEAGE_RECONCILIATION|NEED_OCF|NEED_OFFICIAL_PERIOD_END|NEED_REVENUE|NEED_SHARES|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,11,70,Q4,2023,NO,issuer Investor Relations earnings release/archive,P3_LATEST8Q,8,"Research official issuer sources for FY2023 Q4. Verify Capex required to derive FCF, Cash, EBIT, FCF, first-public result publication date, lineage/source ownership evidence, OCF required to derive FCF, official period_end, Revenue, Shares Outstanding, source semantics confirmation. Do not research other fields.",P8H-3-2582,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,SXTP,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|LINEAGE_OWNERSHIP_EVIDENCE|OCF_FOR_FCF|OFFICIAL_PERIOD_END|REVENUE|SOURCE_SEMANTICS_CONFIRMATION|TARGET_COLLISION_EVIDENCE|TOTAL_DEBT,398,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2025-03-31,2025-04-10,NO,0,CAPEX_FOR_FCF|EBIT_DIRECT|FCF_DIRECT|LINEAGE_OWNERSHIP_EVIDENCE|OCF_FOR_FCF|OFFICIAL_PERIOD_END|REVENUE|SOURCE_SEMANTICS_CONFIRMATION|TARGET_COLLISION_EVIDENCE|TOTAL_DEBT,Verify Capex required to derive FCF for FY2025 Q1; Verify EBIT for FY2025 Q1; Verify FCF for FY2025 Q1; Verify lineage/source ownership evidence for FY2025 Q1; Verify OCF required to derive FCF for FY2025 Q1; Verify official period_end for FY2025 Q1; Verify Revenue for FY2025 Q1; Verify source semantics confirmation for FY2025 Q1; Verify target collision evidence for FY2025 Q1; Verify Total Debt for FY2025 Q1,Phase 8G issue=FQ_CONFLICT_DIRECT_EXACT|PERIOD_END_FISCAL_SLOT_CONFLICT|PRIMARY_CORE_INCOMPLETE|SECONDARY_FIELDS_INCOMPLETE|TARGET_COLLISION; source dependency=NEED_CAPEX|NEED_DEBT|NEED_EBIT|NEED_FCF|NEED_LOCAL_LINEAGE_RECONCILIATION|NEED_OCF|NEED_OFFICIAL_PERIOD_END|NEED_REVENUE|NEED_SOURCE_SEMANTICS_CONFIRMATION|NEED_TARGET_COLLISION_RESOLUTION; structural context=FIXED_DATE_FISCAL_YEAR,10,65,Q1,2025,NO,issuer quarterly/annual report; SEC filing/XBRL only as fallback,P3_LATEST8Q,6,"Research official issuer sources for FY2025 Q1. Verify Capex required to derive FCF, EBIT, FCF, lineage/source ownership evidence, OCF required to derive FCF, official period_end, Revenue, source semantics confirmation, target collision evidence, Total Debt. Do not research other fields.",P8H-3-0486,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,STRUCTURAL_REVIEW_ALSO_REQUIRED,BYRN,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|OCF_FOR_FCF|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,1587,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2022-06-30,2024-09-30,NO,0,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|OCF_FOR_FCF|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,Verify Capex required to derive FCF for FY2022 Q4; Verify Cash for FY2022 Q4; Verify EBIT for FY2022 Q4; Verify FCF for FY2022 Q4; Verify first-public result publication date for FY2022 Q4; Verify OCF required to derive FCF for FY2022 Q4; Verify Revenue for FY2022 Q4; Verify Shares Outstanding for FY2022 Q4; Verify source semantics confirmation for FY2022 Q4; Verify Total Debt for FY2022 Q4,Phase 8G issue=PRIMARY_CORE_INCOMPLETE|PUBLISH_LATE_REVIEW|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_CASH|NEED_DEBT|NEED_EBIT|NEED_FCF|NEED_FIRST_PUBLIC_RESULT_DATE|NEED_OCF|NEED_REVENUE|NEED_SHARES|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=FIXED_DATE_FISCAL_YEAR,10,65,Q4,2022,NO,issuer Investor Relations earnings release/archive,P3_LATEST8Q,8,"Research official issuer sources for FY2022 Q4. Verify Capex required to derive FCF, Cash, EBIT, FCF, first-public result publication date, OCF required to derive FCF, Revenue, Shares Outstanding, source semantics confirmation, Total Debt. Do not research other fields.",P8H-3-1840,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,,NEUP,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
Latest8Q closure,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|LINEAGE_OWNERSHIP_EVIDENCE|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,2188,EXTERNAL_OFFICIAL_EVIDENCE_REQUIRED,2023-06-30,,NO,0,CAPEX_FOR_FCF|CASH|EBIT_DIRECT|FCF_DIRECT|FIRST_PUBLIC_PUBLISH_DATE|LINEAGE_OWNERSHIP_EVIDENCE|REVENUE|SHARES_OUTSTANDING|SOURCE_SEMANTICS_CONFIRMATION|TOTAL_DEBT,Verify Capex required to derive FCF for FY2024 Q2; Verify Cash for FY2024 Q2; Verify EBIT for FY2024 Q2; Verify FCF for FY2024 Q2; Verify first-public result publication date for FY2024 Q2; Verify lineage/source ownership evidence for FY2024 Q2; Verify Revenue for FY2024 Q2; Verify Shares Outstanding for FY2024 Q2; Verify source semantics confirmation for FY2024 Q2; Verify Total Debt for FY2024 Q2,Phase 8G issue=FY_CONFLICT_DIRECT_EXACT|PRIMARY_CORE_INCOMPLETE|PUBLISH_DATE_MISSING|SECONDARY_FIELDS_INCOMPLETE; source dependency=NEED_CAPEX|NEED_CASH|NEED_DEBT|NEED_EBIT|NEED_FCF|NEED_FIRST_PUBLIC_RESULT_DATE|NEED_LOCAL_LINEAGE_RECONCILIATION|NEED_REVENUE|NEED_SHARES|NEED_SOURCE_SEMANTICS_CONFIRMATION; structural context=CALENDAR_YEAR,10,65,Q2,2024,NO,issuer Investor Relations earnings release/archive,P3_LATEST8Q,8,"Research official issuer sources for FY2024 Q2. Verify Capex required to derive FCF, Cash, EBIT, FCF, first-public result publication date, lineage/source ownership evidence, Revenue, Shares Outstanding, source semantics confirmation, Total Debt. Do not research other fields.",P8H-3-2574,NO,READY_FOR_EXTERNAL_RESEARCH_CLEANED,STRUCTURAL_REVIEW_ALSO_REQUIRED,SW,NO,Required to close downstream-critical latest8Q gaps for TTM / Score / Lifecycle / Valuation
